Shortform	Title	Straightforwardness
M.	Mälavikāgnimitra	Exact
Malli.	Mallinātha	Exact
Mādh. N.	Madhavanidäna	Exact
Mahānāṭaka	Mahānātaka	Exact
Māl.	Mälatimādhava	Exact
Māna.	Mānasāra	Exact
Mārk.	Mārkandeya Purāņa	Exact
Mataṅga L.	Matangalila of Nilakantha	Exact
Mb.	Mahābhārata	Exact
Mbh.	Mahābhārata	Exact
Me.	Meghadūta	Exact
Med.	Medinīkosa	Exact
Mīm.	Mīmāmsā	Exact
Mk.	Mrichhakațika	Exact
Moha M.	Mohamudgara	Exact
Ms.	Manusmriti	Exact
Mu.	Mudrārākṣasa	Exact
Mugdha.	Mugdhabodha	Exact
Mv.	Mahāvīracharita	Exact
N.	Naisadhacharita	Exact
Nala.	Nalopākhyāna	Exact
Nalod.	Nalodaya	Exact
Nir.	Nirukta	Exact
Nīti.	Nitisara	Exact
Nītipr.	Nitipradīpa	Exact
Nm.	Nänärthamañjarī of Raghava	Exact
P.	Panini's Astādhyāyī	Exact
P. R.	Prasannarāghava	Exact
Pad. D.	Padänkadūta	Exact
Parṇāl.	Parņālaparvatagrahaņākhyāna	Exact
Prab.	Prabodhachandrodaya	Exact
Pras. Rāgh.	Prasannarāghava	Exact
Pratijñā.	Pratijna Yaugandharāyana	Exact
Praśna. Up.	Prasnopanisad	Exact
Priy. D.	Priyadarśikā	Exact
Pt.	Panchatantra	Exact
R.	Raghuvamśa	Exact
R. G.	Rasagangadhara	Exact
Ras. M.	Rasamañjarī	Exact
Ratn.	Ratnāvalī	Exact
Rv.	Rigveda	Exact
Rv. Pr.	Rigveda Prātiśākhya	Exact
Rāj. P.	Rājaprasasti	Exact
Rāj. T.	Rājatarangiņi	Exact
Rām.	Rāmāyana	Exact
Rām. Ch.	Ramacharitam by Yuvarāja Kavi	Exact
S. D.	Sahityadarpaņa	Exact
Sar. K.	Sarasvatikanthābharaņa	Exact
Sarva. S.	Sarvadarśanasamgraha	Exact
Sid. Mukt.	Siddhantamuktāvali	Exact
Ś.	Śākuntalam	Exact
Ś. B.	Sārīrabhāsya	Inferred
Ś. Til.	Śringāratilaka	Exact
Śabda Ch.	Sabdachintamani	Exact
Śabdak.	Sabdakakalpadruma	Exact
Śat. Br.	Satapatha Brahmaņa	Exact
Śi.	Sisupālavadha	Exact
Śik.	Siksa	Exact
Śiva B.	Sivabhārata by Paramānanda	Exact
Śiva P.	Śiva Purana	Exact
Śrut.	Śrutabodha	Exact
Śukra.	Sukranīti	Exact
Śvet. Up.	Śvetāśvataropaniṣad	Exact
Sūkti.	Süktisundara	Exact
Sūrya S.	Süryasiddhanta	Exact
Suśr.	Suśruta	Exact
T. Br.	Taittirīya Brahmana	Exact
T. S.	Tarkasamgroha	Exact
T. Up.	Taittirīya Upanisad	Exact
T. Ār.	Taittirīya Aranyaka	Exact
Tarka K.	Tarkakaumudi	Exact
Trik.	Trikāndasesa	Exact
Ts.	Taittiriya Samhitā	Exact
Tv.	Taranātha's Vāchaspatyam	Exact
U.	Uttararāmacharita	Exact
Ud. D.	Uddhavadūta	Exact
Ud. S.	Uddhavasandesa	Exact
Udb.	Udbhata	Exact
Ujjval.	Ujjvaladatta	Exact
Un.	Uņādisūtras	Exact
Up.	Upanisad	Exact
Y.	Yājñavalkya Smriti	Exact
Yoga S.	Yogasūtras	Exact
Yv.	Yajurveda	Exact
Ā. L.	Anandalahari	Exact
Āryā. S.	Aryasaptasati	Exact
Āśval.	Asavalāyana's Sütras	Exact
Abh. Chin.	Abhidhānacintāmaṇi (Lexicon by Hemachandra)	Guess
Abhiṣeka.	Abhiṣekanāṭaka (Play attributed to Bhāsa)	Guess
Agni P.	Agni Purāṇa	Guess
Ait. Anukr.	Aitareya Anukramaṇī	Guess
Ait. Up.	Aitareya Upaniṣad	Guess
Ait. Ār.	Aitareya Āraṇyaka	Guess
Aman. Up.	Amanaskopaniṣad	Guess
Amṛt. Up.	Amṛtabindūpaniṣad	Guess
Av. Pariś.	Atharvaveda Pariśiṣṭa	Guess
Bhartṛ. Mbh. Dīpikā	Bhartṛhari’s Mahābhāṣyadīpikā	Guess
Bop.	Bopadeva (Vopadeva, author of Mugdhabodha)	Guess
Brahmabindu. Up.	Brahmabindūpaniṣad	Guess
Brahmavidyā Up.	Brahmavidyopaniṣad	Guess
Brahmāṇḍa P.	Brahmāṇḍa Purāṇa	Guess
Bād. Sūtras	Bādarāyaṇa Sūtras (Brahmasūtras)	Guess
Charpaṭa. S.	Charpaṭapañjarikā Stotra	Guess
Chāṇ.	Chāṇakyanīti	Guess
Colebr.	H. T. Colebrooke (Orientalist scholar)	Guess
G. O. S.	Gaekwad's Oriental Series	Guess
Garbha. Up.	Garbhopaniṣad	Guess
Gauḍapāda Kār.	Gauḍapāda Kārikā	Guess
Haṃsa Up.	Haṃsopaniṣad	Guess
Jābāla Up.	Jābālopaniṣad	Guess
Kūrma P.	Kūrma Purāṇa	Guess
Wilson	H. H. Wilson (Orientalist scholar)	Guess
